"AnimalName","numberOfAnimals","AnimalType"
"Tuxedo",4,"Cat"
"Miffy",4,"Cat"
"Topaz",4,"Cat"
"Cocoa",4,"Cat"
"Baby",4,"Cat"
"Kitten",4,"Cat"
"Milli",4,"Cat"
"Moses",4,"Cat"
"Pepsi",4,"Cat"
"Maddie",4,"Cat"
"Hannah",4,"Cat"
"Nellie",4,"Cat"
"Saphire",4,"Cat"
"Koda",4,"Cat"
"sparky",4,"Cat"
"Yoko",4,"Cat"
"Cheeky",4,"Cat"
"Jasmin",4,"Cat"
"Trixie",4,"Cat"
"Rusty",4,"Cat"
"Roger",4,"Cat"
"Mya",4,"Cat"
"Squeek",4,"Cat"
"April",4,"Cat"
"Ned",4,"Cat"
"Zac",4,"Cat"
"Twinkle",4,"Cat"
"Licorice",4,"Cat"
"Buffy",4,"Cat"
"Jemima",4,"Cat"
"Sky",4,"Cat"
"Tinker",4,"Cat"
"Baxter",4,"Cat"
"Eli",4,"Cat"
"Aslan",4,"Cat"
"Steve",4,"Cat"
"Pippin",4,"Cat"
"Skye",4,"Cat"
"Alvin",4,"Cat"
"Katie",4,"Cat"
"Derek",4,"Cat"
"Shelly",4,"Cat"
"Mintie",4,"Cat"
"Leonardo",4,"Cat"
"Misha",4,"Cat"
"Kit",4,"Cat"
"Patch",4,"Cat"
"Huey",4,"Cat"
"Soxy",4,"Cat"
"Elmo",4,"Cat"
"Scout",4,"Cat"
"Kira",4,"Cat"
"Zeke",4,"Cat"
"Nancy",4,"Cat"
"Shelby",4,"Cat"
"Will",4,"Cat"
"Sumo",4,"Cat"
"Elle",4,"Cat"
"Sarah",4,"Cat"
"Tigga",4,"Cat"
"Rose",4,"Cat"
"raven",4,"Cat"
"Maverick",4,"Cat"
"Bertie",4,"Cat"
"Elsie",4,"Cat"
"Dudley",4,"Cat"
"Ted",4,"Cat"
"James",4,"Cat"
"Georgia",4,"Cat"
"Trinity",4,"Cat"
"Cougar",4,"Cat"
"Monkey",4,"Cat"
"Nikki",4,"Cat"
"Jessica",4,"Cat"
